email,Alcoholic,Appetizers,Arcade,Billiards,Bowling,Cocktail,Desserts,Mains,Non-alcoholic,Salads,VR,total_spent_year,visit_count_year,is_loyalty
abigail.chen229@hotmail.com,5,1,4,0,3,4,2,4,7,1,0,402.22,5,1.0
abigail.chow473@gmail.com,3,2,2,1,0,2,1,11,10,3,3,473.31,7,1.0
abigail.johnson162@yahoo.com,7,5,11,8,3,7,7,12,19,2,0,1085.61,13,1.0
abigail.nguyen35@yahoo.com,4,6,6,2,2,2,3,6,7,2,3,598.41,6,1.0
abigail.nowak26@outlook.com,6,4,9,2,1,3,1,7,12,0,2,616.19,9,1.0
abigail.park335@gmail.com,3,1,4,0,0,1,1,5,6,1,1,311.5,4,1.0
abigail.singh287@yahoo.com,7,5,7,2,2,3,2,9,13,1,1,672.91,9,1.0
abigail.smith468@outlook.com,3,3,8,1,1,4,2,4,8,1,3,571.15,5,1.0
abigail.thompson263@hotmail.com,7,3,7,2,1,5,2,8,13,0,1,664.62,9,1.0
abigail.thompson339@gmail.com,4,3,9,1,1,5,1,8,11,0,0,617.4100000000001,6,0.0
aiden.chan248@hotmail.com,11,6,16,4,6,8,5,14,24,2,4,1247.58,15,1.0
aiden.chen118@yahoo.com,2,0,9,2,1,5,1,2,10,1,0,457.13,5,1.0
aiden.garcia277@outlook.com,4,1,2,2,3,8,1,9,11,0,4,572.17,6,1.0
aiden.gonzalez136@yahoo.com,3,7,4,0,0,6,0,7,14,1,1,566.14,8,0.0
aiden.lam185@hotmail.com,6,7,8,4,5,3,2,6,16,0,0,699.46,9,0.0
aiden.macdonald433@outlook.com,7,7,5,2,0,4,2,3,16,1,1,547.11,12,0.0
aiden.martinez228@gmail.com,8,6,9,3,4,11,3,9,22,2,5,1003.0500000000001,13,0.0
aiden.park48@outlook.com,5,5,7,1,1,5,1,9,9,0,0,576.22,6,0.0
aiden.smith493@outlook.com,6,9,8,2,0,1,1,5,10,0,1,668.3,7,1.0
aiden.wong178@hotmail.com,4,5,5,0,1,3,1,6,11,0,1,484.27,8,0.0
alexander.johnson349@outlook.com,4,2,9,1,1,9,1,8,13,2,1,735.62,7,1.0
alexander.lau9@hotmail.com,9,4,8,4,0,8,2,7,16,3,5,876.98,12,1.0
alexander.martinez100@hotmail.com,1,2,4,0,1,1,1,1,7,0,0,231.93,3,0.0
alexander.park254@gmail.com,7,9,16,6,3,11,6,10,20,2,3,1254.11,13,1.0
alexander.patel159@hotmail.com,6,5,9,2,2,4,5,12,14,0,0,819.87,11,0.0
alexander.patel389@gmail.com,3,1,4,1,2,2,1,7,7,2,0,403.24,8,0.0
alexander.su258@hotmail.com,7,5,12,6,2,11,3,12,28,1,4,1132.69,13,1.0
alexander.taylor405@gmail.com,3,6,10,2,1,6,3,7,21,0,2,751.95,11,0.0
alexander.white134@gmail.com,5,3,8,2,1,0,2,7,9,2,0,524.85,6,1.0
alexander.wilson223@icloud.com,8,6,6,4,4,11,3,7,18,0,4,912.8,12,0.0
amelia.gonzalez211@icloud.com,16,6,12,2,3,8,6,17,17,0,2,1194.18,12,1.0
amelia.johnson273@outlook.com,8,4,7,1,1,9,4,9,17,1,2,832.42,13,1.0
amelia.li361@yahoo.com,2,3,12,2,3,7,0,9,13,1,3,805.61,9,1.0
amelia.liu131@yahoo.com,4,2,6,2,2,4,3,5,8,0,3,563.44,5,0.0
amelia.martin461@outlook.com,1,3,2,2,0,4,2,6,9,1,2,384.59000000000003,5,1.0
amelia.nguyen311@outlook.com,1,1,4,0,1,3,0,3,4,1,0,305.89,3,1.0
amelia.rodriguez86@icloud.com,5,2,9,2,1,6,2,5,13,1,5,654.99,10,0.0
amelia.zhang308@outlook.com,15,7,11,5,3,8,6,13,15,3,1,1244.44,11,1.0
aria.anderson151@icloud.com,3,3,6,2,1,2,2,6,12,0,0,471.88,6,0.0
aria.garcia13@hotmail.com,5,3,7,2,2,4,3,9,11,1,4,745.39,7,0.0
aria.garcia364@icloud.com,3,2,9,2,2,5,1,5,15,1,4,627.27,9,0.0
aria.gonzalez193@hotmail.com,5,8,5,0,6,6,3,8,13,0,4,745.58,6,0.0
aria.huang253@yahoo.com,6,8,5,1,1,4,4,8,16,1,2,684.5600000000001,11,1.0
aria.ivanov15@yahoo.com,3,2,3,1,2,1,1,1,7,0,1,317.3,5,1.0
aria.khan113@outlook.com,5,2,9,2,2,3,2,6,9,2,3,711.97,4,1.0
aria.lau174@yahoo.com,4,3,13,1,0,6,1,5,15,2,0,697.47,12,1.0
aria.nowak10@icloud.com,7,4,8,0,1,2,4,5,12,1,1,541.76,9,1.0
aria.nowak441@icloud.com,6,3,7,1,0,7,4,16,20,0,5,926.7,10,1.0
aria.tremblay406@icloud.com,6,3,7,2,1,5,3,4,19,0,0,533.42,9,1.0
ava.chen323@outlook.com,8,1,6,1,2,5,1,6,16,0,3,510.15999999999997,9,1.0
ava.liu81@icloud.com,3,0,3,3,0,2,3,7,12,0,0,447.75,6,1.0
ava.smith409@gmail.com,8,9,7,1,2,6,5,11,21,1,3,927.72,14,0.0
ava.thompson298@outlook.com,5,3,8,0,4,5,2,5,9,2,1,565.4399999999999,7,0.0
avery.brown176@icloud.com,7,5,11,4,3,8,1,11,23,1,1,817.04,9,1.0
avery.chow431@icloud.com,10,6,11,3,5,4,2,5,15,0,3,819.94,10,0.0
avery.khan192@gmail.com,5,5,6,1,1,2,1,5,16,1,4,620.14,7,1.0
avery.lee137@outlook.com,4,4,5,2,2,3,5,5,12,0,3,508.85,7,1.0
avery.su423@outlook.com,8,6,13,3,3,4,2,6,25,1,3,942.22,9,1.0
avery.wilson142@gmail.com,6,6,9,5,2,12,4,13,22,0,1,935.69,10,0.0
benjamin.anderson24@gmail.com,7,7,9,1,0,6,1,5,15,3,2,716.56,8,0.0
benjamin.lam53@gmail.com,3,0,9,0,0,5,1,2,5,0,1,395.81,6,0.0
benjamin.lau498@gmail.com,17,6,6,3,3,14,2,12,29,3,1,1176.18,13,1.0
benjamin.lopez376@yahoo.com,7,4,13,4,2,13,6,11,32,1,2,1162.45,11,0.0
benjamin.nguyen74@icloud.com,9,6,15,1,3,10,8,5,14,1,3,1001.9300000000001,12,1.0
benjamin.park25@icloud.com,4,5,9,1,3,6,2,13,10,0,3,825.8,7,1.0
