category,email,item_id,item_name,item_type,Sum of line_amount_cad,Sum of quantity,Sum of time_spent_min,Sum of total_bill_amount,Year,Quarter,Month,Day,transaction_id,Sum of unit_price_cad
Air Hockey,abigail.johnson162@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,97,164.9,2024,Qtr 4,December,21,T000694,9
Air Hockey,abigail.johnson162@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,96,148.42,2025,Qtr 4,October,13,T004331,9
Air Hockey,abigail.nguyen35@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,50,172.87,2025,Qtr 1,February,3,T001156,9
Air Hockey,abigail.nowak26@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,129,62.48,2025,Qtr 3,July,22,T003197,9
Air Hockey,abigail.nowak26@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,33,46.97,2025,Qtr 4,October,18,T004373,9
Air Hockey,abigail.singh287@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,32,92.94,2024,Qtr 4,November,8,T000119,9
Air Hockey,abigail.singh287@yahoo.com,E007,Air Hockey 30 mins,entertainment,18,2,88,42.98,2025,Qtr 4,October,8,T004273,18
Air Hockey,abigail.smith468@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,170,90.94,2024,Qtr 4,December,18,T000660,9
Air Hockey,abigail.smith468@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,141,189.83,2025,Qtr 3,July,7,T002979,9
Air Hockey,abigail.thompson263@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,159,68.97,2025,Qtr 2,June,14,T002632,9
Air Hockey,abigail.thompson339@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,68,102.92,2024,Qtr 4,December,13,T000586,9
Air Hockey,abigail.thompson339@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,56,70.43,2025,Qtr 3,July,3,T002934,9
Air Hockey,aiden.chan248@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,83,99.46,2024,Qtr 4,December,31,T000860,9
Air Hockey,aiden.chan248@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,75,105.41,2025,Qtr 2,June,24,T002802,9
Air Hockey,aiden.chen118@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,95,15.98,2025,Qtr 2,April,6,T001801,9
Air Hockey,aiden.chen118@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,76,151.52,2025,Qtr 3,August,25,T003694,9
Air Hockey,aiden.gonzalez136@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,30,143.39,2025,Qtr 3,September,6,T003895,9
Air Hockey,aiden.lam185@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,258,178.88,2025,Qtr 2,May,11,T002226,18
Air Hockey,aiden.lam185@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,108,131.74,2025,Qtr 3,September,8,T003924,9
Air Hockey,aiden.macdonald433@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,121,100.89,2025,Qtr 2,June,15,T002670,9
Air Hockey,aiden.macdonald433@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,90,51.96,2025,Qtr 3,August,24,T003668,9
Air Hockey,aiden.martinez228@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,86,110.22,2024,Qtr 4,December,16,T000643,9
Air Hockey,aiden.martinez228@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,118,155.39,2025,Qtr 2,April,23,T001995,9
