transaction_id,total_bill_amount,email,transaction_date,quantity,time_spent_min,name,phone,loyalty_enrolled,loyalty_id,tier,points_earned,gender,age,birthday,occupation
T000003,55.45,aiden.lam185@hotmail.com,28-Oct-24,5,115,Aiden Lam,1-365-193-6905,N,,,,,,,
T000009,28.85,alexander.taylor405@gmail.com,28-Oct-24,5,118,Alexander Taylor,1-647-596-8619,N,,,,,,,
T000025,54.95,sofia.johnson337@hotmail.com,30-Oct-24,5,75,Sofia Johnson,1-416-144-4405,N,,,,,,,
T000076,57.96,jackson.liu3@outlook.com,3-Nov-24,5,68,Jackson Liu,1-416-759-3586,N,,,,,,,
T000098,76.98,victoria.martin295@yahoo.com,6-Nov-24,5,110,Victoria Martin,1-289-873-8815,N,,,,,,,
T000110,26.77,chloe.chen344@icloud.com,7-Nov-24,5,52,Chloe Chen,1-289-748-5627,N,,,,,,,
T000133,53.46,madison.white459@icloud.com,9-Nov-24,5,110,Madison White,1-437-361-5081,N,,,,,,,
T000172,65.47,jack.wilson218@outlook.com,11-Nov-24,5,167,Jack Wilson,1-905-426-2809,N,,,,,,,
T000205,34.95,mia.nowak60@icloud.com,15-Nov-24,5,78,Mia Nowak,1-289-634-3432,N,,,,,,,
T000215,71.46,ethan.lam179@icloud.com,16-Nov-24,5,87,Ethan Lam,1-905-319-3377,N,,,,,,,
T000261,65.56,nora.patel79@yahoo.com,20-Nov-24,5,147,Nora Patel,1-437-550-9941,N,,,,,,,
T000263,29.05,william.ivanov235@hotmail.com,20-Nov-24,5,30,William Ivanov,1-416-455-5984,N,,,,,,,
T000267,28.26,noah.li458@outlook.com,20-Nov-24,5,113,Noah Li,1-289-276-5354,N,,,,,,,
T000270,47.26,charlotte.lam401@hotmail.com,21-Nov-24,5,95,Charlotte Lam,1-647-564-2151,N,,,,,,,
T000276,76.96,jack.anderson427@hotmail.com,21-Nov-24,5,77,Jack Anderson,1-416-646-253,N,,,,,,,
T000307,65.96,harper.martinez292@yahoo.com,24-Nov-24,5,87,Harper Martinez,1-905-185-6879,N,,,,,,,
T000327,80.96,owen.brown121@hotmail.com,26-Nov-24,5,63,Owen Brown,1-416-855-7410,N,,,,,,,
T000343,79.96,camila.singh467@outlook.com,28-Nov-24,5,30,Camila Singh,1-905-437-9559,N,,,,,,,
T000347,37.46,mila.taylor12@outlook.com,28-Nov-24,5,90,Mila Taylor,1-365-513-1999,N,,,,,,,
T000365,78.47,jacob.li446@hotmail.com,29-Nov-24,5,122,Jacob Li,1-437-743-1909,N,,,,,,,
T000370,66.45,mila.wong346@hotmail.com,30-Nov-24,5,82,Mila Wong,1-437-200-1549,N,,,,,,,
T000424,65.96,riley.park490@hotmail.com,3-Dec-24,5,73,Riley Park,1-437-498-9271,N,,,,,,,
T000463,43.75,samuel.lopez91@icloud.com,5-Dec-24,5,137,Samuel Lopez,1-437-642-8134,N,,,,,,,
T000466,67.47,joseph.chan456@yahoo.com,5-Dec-24,5,128,Joseph Chan,1-289-137-2895,N,,,,,,,
T000487,72.96,william.macdonald386@gmail.com,6-Dec-24,5,89,William MacDonald,1-416-535-277,N,,,,,,,
T000490,31.05,jacob.martin290@yahoo.com,6-Dec-24,5,85,Jacob Martin,1-289-474-3439,N,,,,,,,
T000511,51.96,layla.garcia440@hotmail.com,8-Dec-24,5,158,Layla Garcia,1-905-952-4961,N,,,,,,,
T000522,52.47,emma.chan169@icloud.com,9-Dec-24,5,80,Emma Chan,1-905-430-9592,N,,,,,,,
T000539,91.46,grace.wang393@hotmail.com,10-Dec-24,5,138,Grace Wang,1-289-202-8561,N,,,,,,,
T000549,63.96,matthew.ivanov407@icloud.com,11-Dec-24,5,131,Matthew Ivanov,1-905-305-2873,N,,,,,,,
T000588,33.48,ella.khan39@hotmail.com,13-Dec-24,5,160,Ella Khan,1-437-421-4969,N,,,,,,,
T000615,52.96,madison.roy419@icloud.com,15-Dec-24,5,137,Madison Roy,1-437-315-2572,N,,,,,,,
T000678,36.46,mason.macdonald0@gmail.com,19-Dec-24,5,30,Mason MacDonald,1-365-227-6804,N,,,,,,,
T000734,42.27,daniel.gonzalez328@icloud.com,23-Dec-24,5,40,Daniel Gonzalez,1-365-526-4323,N,,,,,,,
T000830,30.95,michael.singh180@icloud.com,29-Dec-24,5,53,Michael Singh,1-905-125-2922,N,,,,,,,
T000866,59.46,charlotte.lam401@hotmail.com,1-Jan-25,5,127,Charlotte Lam,1-647-564-2151,N,,,,,,,
T000873,71.47,riley.martinez439@outlook.com,1-Jan-25,5,119,Riley Martinez,1-647-226-1806,N,,,,,,,
T000875,58.46,isabella.tremblay7@outlook.com,2-Jan-25,5,111,Isabella Tremblay,1-905-229-8363,N,,,,,,,
T000883,56.76,ethan.macdonald77@hotmail.com,3-Jan-25,5,125,Ethan MacDonald,1-289-808-4056,N,,,,,,,
T000904,69.95,nora.kowalski478@icloud.com,5-Jan-25,5,33,Nora Kowalski,1-647-492-6170,N,,,,,,,
